"country","year","sids","region_name","classification","datasets","records"
"Australia",2020,FALSE,"Oceania","other",179,25978116
"United States of America",2020,FALSE,"Americas","other",245,9754283
"United States of America",2021,FALSE,"Americas","other",162,6782409
"Canada",2021,FALSE,"Americas","other",45,6434580
"Belgium",2022,FALSE,"Europe","other",60,4873047
"United Kingdom of Great Britain and Northern Ireland",2020,FALSE,"Europe","other",24,4715825
"Netherlands",2022,FALSE,"Europe","other",16,3974227
"United Kingdom of Great Britain and Northern Ireland",2022,FALSE,"Europe","other",26,3460410
"Belgium",2020,FALSE,"Europe","other",106,3302653
"Australia",2021,FALSE,"Oceania","other",73,2737498
"France",2020,FALSE,"Europe","other",43,2526816
"Germany",2020,FALSE,"Europe","other",10,2400858
"New Zealand",2020,FALSE,"Oceania","other",14,2333197
"United States of America",2022,FALSE,"Americas","other",60,2257658
"Belgium",2021,FALSE,"Europe","other",102,2235125
"Australia",2022,FALSE,"Oceania","other",71,1420809
"Puerto Rico",2020,TRUE,"Americas","SIDS",1,1053192
"Sweden",2021,FALSE,"Europe","other",6,995893
"United Kingdom of Great Britain and Northern Ireland",2021,FALSE,"Europe","other",59,711939
"Canada",2020,FALSE,"Americas","other",6,568580
"France",2021,FALSE,"Europe","other",37,484434
"Puerto Rico",2022,TRUE,"Americas","SIDS",2,471400
"United States Virgin Islands",2022,TRUE,"Americas","SIDS",1,463275
"Japan",2020,FALSE,"Asia","other",9,462911
"Netherlands",2020,FALSE,"Europe","other",11,346004
"Portugal",2022,FALSE,"Europe","other",10,328373
"Japan",2022,FALSE,"Asia","other",13,323209
"Peru",2021,FALSE,"Americas","other",2,299901
"Italy",2021,FALSE,"Europe","other",10,255012
"Colombia",2021,FALSE,"Americas","other",32,240275
"Brazil",2022,FALSE,"Americas","other",33,236871
"South Africa",2022,FALSE,"Africa","Africa",1,207974
"Colombia",2022,FALSE,"Americas","other",36,196378
"Canada",2022,FALSE,"Americas","other",14,168269
"France",2022,FALSE,"Europe","other",12,132059
"Ireland",2021,FALSE,"Europe","other",23,106667
"Estonia",2022,FALSE,"Europe","other",2,104777
"Brazil",2020,FALSE,"Americas","other",31,100049
"Finland",2022,FALSE,"Europe","other",2,99715
"Spain",2020,FALSE,"Europe","other",6,91585
"Germany",2022,FALSE,"Europe","other",14,84583
"Tonga",2022,TRUE,"Oceania","SIDS",2,83434
"Romania",2022,FALSE,"Europe","other",5,62815
"Spain",2022,FALSE,"Europe","other",5,57544
"Colombia",2020,FALSE,"Americas","other",27,56538
"New Zealand",2021,FALSE,"Oceania","other",15,55645
"Brazil",2021,FALSE,"Americas","other",6,54191
"Portugal",2020,FALSE,"Europe","other",2,51420
"Italy",2022,FALSE,"Europe","other",13,49481
"India",2020,FALSE,"Asia","other",5,49057
"Jamaica",2021,TRUE,"Americas","SIDS",90,49033
"Greece",2022,FALSE,"Europe","other",5,47447
"Italy",2020,FALSE,"Europe","other",11,47381
"Croatia",2022,FALSE,"Europe","other",1,47130
"Malta",2022,FALSE,"Europe","other",1,47130
"Tunisia",2022,FALSE,"Africa","Africa",1,47130
"New Caledonia",2020,TRUE,"Oceania","SIDS",10,36766
"Norway",2022,FALSE,"Europe","other",6,34741
"Romania",2021,FALSE,"Europe","other",4,33584
"Sweden",2022,FALSE,"Europe","other",3,26579
"Norway",2020,FALSE,"Europe","other",2,22798
"Venezuela (Bolivarian Republic of)",2022,FALSE,"Americas","other",42,21976
"Ireland",2020,FALSE,"Europe","other",1,21901
"Ukraine",2021,FALSE,"Europe","other",59,21061
"China",2021,FALSE,"Asia","other",38,20008
"Croatia",2021,FALSE,"Europe","other",7,19622
"Venezuela (Bolivarian Republic of)",2021,FALSE,"Americas","other",28,19149
"New Caledonia",2022,TRUE,"Oceania","SIDS",6,16952
"Germany",2021,FALSE,"Europe","other",16,15606
"Denmark",2022,FALSE,"Europe","other",2,14611
"Greece",2020,FALSE,"Europe","other",3,13999
"Israel",2020,FALSE,"Asia","other",1,13941
"Spain",2021,FALSE,"Europe","other",9,13103
"India",2021,FALSE,"Asia","other",5,12645
"Greece",2021,FALSE,"Europe","other",11,12228
"Mexico",2020,FALSE,"Americas","other",6,11997
"Poland",2020,FALSE,"Europe","other",2,11299
"Netherlands",2021,FALSE,"Europe","other",4,9058
"Russian Federation",2021,FALSE,"Europe","other",3,8344
"Solomon Islands",2020,TRUE,"Oceania","SIDS",2,7878
"Ireland",2022,FALSE,"Europe","other",1,7649
"Argentina",2020,FALSE,"Americas","other",5,6687
"Nigeria",2022,FALSE,"Africa","Africa",1,6590
"Cameroon",2022,FALSE,"Africa","Africa",7,5882
"New Zealand",2022,FALSE,"Oceania","other",10,5767
"Singapore",2021,TRUE,"Asia","SIDS",4,5765
"Samoa",2022,TRUE,"Oceania","SIDS",2,5669
"Denmark",2021,FALSE,"Europe","other",19,5532
"Russian Federation",2022,FALSE,"Europe","other",3,4904
"Poland",2021,FALSE,"Europe","other",8,4374
"Japan",2021,FALSE,"Asia","other",15,4240
"Micronesia (Federated States of)",2020,TRUE,"Oceania","SIDS",1,4203
"Samoa",2020,TRUE,"Oceania","SIDS",2,4171
"Marshall Islands",2020,TRUE,"Oceania","SIDS",1,4035
"Greenland",2021,FALSE,"Americas","other",1,3468
"Fiji",2020,TRUE,"Oceania","SIDS",1,3367
"Lithuania",2020,FALSE,"Europe","other",1,3306
"Tuvalu",2022,TRUE,"Oceania","SIDS",1,3090
"Micronesia (Federated States of)",2021,TRUE,"Oceania","SIDS",1,3053
"New Caledonia",2021,TRUE,"Oceania","SIDS",1,3053
"Vanuatu",2022,TRUE,"Oceania","SIDS",1,3043
"Nauru",2022,TRUE,"Oceania","SIDS",1,2647
"Niue",2022,TRUE,"Oceania","SIDS",1,2623
"Iran (Islamic Republic of)",2022,FALSE,"Asia","other",2,2575
"Fiji",2022,TRUE,"Oceania","SIDS",1,2564
"Bulgaria",2021,FALSE,"Europe","other",3,2559
"Republic of Korea",2021,FALSE,"Asia","other",14,2545
"Portugal",2021,FALSE,"Europe","other",2,2472
"Wallis and Futuna Islands",2022,FALSE,"Oceania","other",1,2444
"Chile",2021,FALSE,"Americas","other",6,2433
"Mexico",2021,FALSE,"Americas","other",4,2411
"Switzerland",2020,FALSE,"Europe","other",1,2342
"India",2022,FALSE,"Asia","other",6,2247
"Kenya",2022,FALSE,"Africa","Africa",1,2233
"Iceland",2022,FALSE,"Europe","other",3,2216
"Indonesia",2020,FALSE,"Asia","other",1,1615
"Russian Federation",2020,FALSE,"Europe","other",1,1442
"Philippines",2022,FALSE,"Asia","other",1,1312
